"","o__Acidaminococcales","o__Actinomycetales","o__Bacillales","o__Bacteroidales","o__Bifidobacteriales","o__Brachyspirales","o__Burkholderiales","o__Campylobacterales","o__Candidatus_Gastranaerophilales","o__Clostridiales","o__Coriobacteriales","o__Corynebacteriales","o__Desulfovibrionales","o__Eggerthellales","o__Enterobacterales","o__Erysipelotrichales","o__Firmicutes_unclassified","o__Fusobacteriales","o__Lactobacillales","o__Methanobacteriales","o__Methanomassiliicoccales","o__Micrococcales","o__Pasteurellales","o__Propionibacteriales","o__Proteobacteria_unclassified","o__Pseudomonadales","o__Selenomonadales","o__Synergistales","o__Tissierellales","o__Veillonellales","o__Verrucomicrobiales","o__Victivallales"
"60-tB",0,0,0,81.50701,0,0,0.85939,0,0,15.26972,0,0,0.03957,0.17635,0.12308,0.07736,0,0,0.12398,0,0,0,0,0,0.02191,0,0,0,0,0,1.80163,0
"60-tP",0,0,0,80.01319,0,0,1.32335,0,0,12.35698,0,0,0.04213,0.18715,0.08845,0.03972,0,0,0,0.04945,0,0,0,0,0.03901,0,0,0,0,0,5.86058,0
"61-rB",3.46784,0,0,68.1431,0,0,2.45445,0,0,21.18977,2.49331,0,0.02104,0.00706,1.22791,0.01764,0.87292,0,0,0,0,0,0,0,0.08751,0,0,0,0,0,0.01745,0
"61-rP",4.68333,0,0,63.63877,0,0,2.15367,0,0,15.71246,1.8972,0,0.08525,0.06044,1.29078,0,0.33677,0,0.00753,0,0,0,0,0,0.08487,0,0,0,0,0,10.04892,0
"61-tB",2.61922,0,0,68.97457,0,0,2.42321,0,0,20.30498,1.35917,0,0.01832,0.06086,0.3912,0,0.28855,0,0,0,0,0,0,0,0.07244,0,0,0,0,0,3.48749,0
"61-tP",4.88401,0,0,54.04538,0,0,1.83746,0,0,20.81704,3.17573,0,0.08245,0.11716,2.11376,0,0.01803,0,0.03139,0,0,0,0,0,0.06345,0,0,0,0,0,12.81414,0
"62-rB",0.99401,0,0,54.68378,0,0,0,0,0,35.87253,0,0,0.17116,0.36764,0.2211,0.23167,0.17178,0,0,0,0,0,0,0,0,0,0,0,0,0,7.28632,0
"62-rP",1.21363,0,0,52.25766,0,0,0,0,0,43.08082,0,0,0.50425,0.55548,0.42472,0.13105,0.17385,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65853,0
"62-tB",1.00618,0,0,57.57836,0,0,0,0,0,22.66367,0,0,0.29242,0.49768,3.0484,0.06227,0.19821,0,0.05647,0,0,0,0,0,0,0,0,0,0,0,14.59634,0
"62-tP",1.12101,0,0,65.21962,0,0,0,0,0,24.78611,0,0,0.3584,0.19045,0.40405,0,0,0,0.0683,0,0,0,0,0,0,0,0,0,0,0,7.85206,0
"64-rB",0,0,0,16.25701,10.1498,0,0.2079,0,0,38.99109,0,0,0.20937,2.76577,24.03823,0.37528,0.39303,0,0.20774,0.27557,0,0,0,0,1.65375,0,0,0,0,0.33464,4.14084,0
