"","term","estimate","std.error","statistic","p.value","padj"
"460","PWY.5695..inosine.5.phosphate.degradation.2886.0371693838.PWY.5695..inosine.5.phosphate.degradation",0.057229123877824,4.98855925038104,0.0114720746021915,0.99084680956791,1
"461","PWY.6124..inosine.5.phosphate.biosynthesis.II.1407.8779321370.PWY.6124..inosine.5.phosphate.biosynthesis.II",0.0740739995365333,6.45689660372184,0.0114720746021914,0.99084680956791,1
"462","PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage.682.4502649610.PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage",0.380803390546918,33.1939430095913,0.0114720746021913,0.99084680956791,1
"463","PYRIDOXSYN.PWY..pyridoxal.5.phosphate.biosynthesis.I.556.6562522099.PYRIDOXSYN.PWY..pyridoxal.5.phosphate.biosynthesis.I",0.293366070621463,25.5721899302703,0.0114720746021912,0.990846809567911,1
"464","PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage.426.7959887648.PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage",0.103880785189442,9.05510021435954,0.0114720746021903,0.990846809567911,1
"465","PWY.5695..inosine.5.phosphate.degradation.1494.6025244883.PWY.5695..inosine.5.phosphate.degradation",0.0750692232535127,6.54364845563189,0.0114720746021897,0.990846809567912,1
"466","PYRIDOXSYN.PWY..pyridoxal.5.phosphate.biosynthesis.I.795.6751807253.PYRIDOXSYN.PWY..pyridoxal.5.phosphate.biosynthesis.I",0.100583710129751,8.76770014296732,0.0114720746021898,0.990846809567912,1
"467","PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage.779.6920636917.PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage",0.174532838166291,15.2137119238211,0.0114720746021892,0.990846809567912,1
"468","PWY.6124..inosine.5.phosphate.biosynthesis.II.1696.5609183404.PWY.6124..inosine.5.phosphate.biosynthesis.II",0.0847362811644442,7.38630841437127,0.0114720746021891,0.990846809567912,1
"469","PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage.378.9291599239.PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage",0.328633602303366,28.6463968984874,0.0114720746021891,0.990846809567912,1
