Program,xPONENT,,MAGPIX,,,,,,,,,,,,,
"76(1,D10)",99-2,25,24,128,10672,27,36,17,87,4497,381,28,21017,6353,,
"77(1,E10)",99-3,31,24,185,11774,23.5,84,15,139,5710,828,27,22466,4143,,
"78(1,F10)",99-3,27,23,175,11511,24,62,15,123,6187.5,745,26,22862,4244,,
"79(1,G10)",99-4,28,23,159,11473.5,24,60,15,151.5,6614.5,781,24,24101.5,3042,,
"80(1,H10)",99-4,26,20.5,171.5,11611.5,21,86,13,171,5611.5,848,22,22340,2190,,
"81(1,A11)",101-1,26,23,370,10477,23,163,14,234,5816,691.5,26.5,20851.5,4221,,
"82(1,B11)",101-1,25,24.5,334.5,10401,24,113,15,200,6050,576,28,20733,4609,,
"83(1,C11)",101-2,26,23,319,9615,24,198,16,103,6535.5,748,28.5,22084,4756,,
"84(1,D11)",101-2,26,25,228,9764,28,39,18,77.5,6804.5,367,32,21665,6419,,
"85(1,E11)",101-3,28,26,341,7880,26.5,52,19,107,5754.5,410,32,20306,3733,,
"86(1,F11)",101-3,26,21,369,7843.5,24,58,16,107,5872,443,28,19967,4612,,
"87(1,G11)",101-4,25,21,312,11547.5,21,78,15,99,6610,704.5,25.5,22234,2985,,
"88(1,H11)",101-4,24,20,313,11789,21,79,14,101,7064,743,24,22865.5,2394,,
"89(1,A12)",102-1,30,30,237.5,8387,25,118,16,141,6138,1004,28,24386,3904,,
"90(1,B12)",102-1,30,34,243,8380,27,120,17,159,6561,1084,29,25196.5,4317,,
"91(1,C12)",102-2,28,31,300,8666,25,35,17.5,152,6393,946,28,24718,4779,,
"92(1,D12)",102-2,27,28.5,287.5,8754,30,26,17,122,6622,635,31,24340,6449,,
"93(1,E12)",102-3,27,28,267,9526.5,25,34,18,164,6355,939,30,24138,3741,,
"94(1,F12)",102-3,28,27,238,9000,27,28,17,149.5,6230,741,30,23158,3680,,
"95(1,G12)",102-4,25,22,255.5,8698,22,28,13,156,5911,915,24,23094,2603,,
"96(1,H12)",102-4,23,21,280,8906,18,30,14,175,5908.5,1003,23,23076,1166,,
,,,,,,,,,,,,,,,,
DataType:,Net MFI,,,,,,,,,,,,,,,
Location,Sample,TNF-alpha,IL-6,vWF-A2,MMP-2,IL-10,CCL2/JE/MCP-1,IL-1 beta/IL-1F2,S100A9,Comlement Component C9,ALCAM/CD166,IL-12/IL-23 p40,Cystatin C,Total Events,,
"1(1,A1)",Standard1,5137.5,3622.5,7828.5,12437.5,7458,13358.5,4365,2855,3304,7951,5933,14834.5,3428,,
"2(1,B1)",Standard1,5149,3627,7698,12485.5,7439,13206.5,4408.5,3146,3198.5,8015,6056,14867.5,3524,,
"3(1,C1)",Standard2,1907.5,1090.5,2290,7219.5,2504,8155.5,1856,1093,1216.5,4100,2206,8471,3440,,
"4(1,D1)",Standard2,1406.5,714.5,1938,5102,1570.5,4698,1157,726,846.5,2615,1404,6484.5,5414,,
"5(1,E1)",Standard3,659.5,330,654.5,1753,813.5,2496.5,586.5,300,389.5,1163,633.5,2109.5,3626,,
"6(1,F1)",Standard3,669,345,665,1761.5,846,2579.5,609,314,411.5,1219,649,2202.5,3722,,
"7(1,G1)",Standard4,8.5,266,1137.5,1538.5,722,2688.5,244,344,NaN,2005,NaN,3822,18,,
"8(1,H1)",Standard4,282,136,268.5,313.5,307,1051.5,261,113,166.5,500,227.5,392.5,2344,,
"9(1,A2)",Standard5,74.5,36,70,55.5,61,89.5,53,21,44.5,101,46,37.5,3711,,
"10(1,B2)",Standard5,77.5,34,84,53.5,80,87.5,51,22,46.5,97,45.5,37.5,3288,,
"11(1,C2)",Standard6,24.5,12,22,14.5,18.5,10.5,15,5,14.5,29,14,3.5,2848,,
"12(1,D2)",Standard6,16.5,7,20,12.5,14,2.5,9,3,9.5,17,8,3.5,7408,,
"13(1,E2)",Standard7,9.5,4,7,5,8,0.5,6,1,5.5,9,4,-0.5,2861,,
"14(1,F2)",Standard7,8.5,3,7,5.5,7,0.5,6,2,5.5,8,4,-0.5,3627,,
"15(1,G2)",Background0,0.5,0,0,0.5,0,0.5,0,0,-0.5,0,0,0.5,3437,,
"16(1,H2)",Background0,-0.5,0,0,-0.5,0,-0.5,0,0,0.5,0,0,-0.5,4203,,
"17(1,A3)",76-1,20.5,6,642,11355.5,5,403.5,4,207,4548.5,448,3,22829.5,2797,,
"18(1,B3)",76-1,21.5,6,560,11197.5,4,320.5,5,178,5211.5,444,4,22728,3066,,
